Date,SPY,BRK-B,UNH,JPM,XOM,AVGO,META,TSLA,LLY,V,MA,MSFT,AAPL,AMZN,NVDA,GOOGL,TRGP,PTC,DECK,ATO,BLDR,SHV,TLT,USO,IAU,MTUM
2020-04-01 00:00:00-04:00,228.86514282226562,175.9499969482422,220.517578125,72.65200805664062,29.335405349731445,19.683399200439453,158.85134887695312,32.104000091552734,128.04051208496094,147.5168914794922,221.9229736328125,145.32962036132812,58.38723373413086,95.38500213623047,6.054444313049316,54.842796325683594,5.29307746887207,56.29999923706055,20.625,83.3260726928711,11.479999542236328,97.55026245117188,145.63755798339844,35.040000915527344,30.34000015258789,95.831298828125
2020-04-02 00:00:00-04:00,234.1463165283203,179.72999572753906,223.4166717529297,75.36481475830078,31.578758239746094,20.86547088623047,157.4479522705078,30.29800033569336,133.4467010498047,151.64048767089844,231.89256286621094,148.33924865722656,59.36153030395508,95.94149780273438,6.363305568695068,55.58574676513672,5.679499626159668,54.880001068115234,21.114999771118164,85.7297134399414,11.539999961853027,97.55026245117188,146.56166076660156,40.880001068115234,30.84000015258789,97.364013671875
2020-04-03 00:00:00-04:00,230.76193237304688,178.33999633789062,213.24195861816406,73.13721466064453,30.64858055114746,20.619020462036133,153.4567413330078,32.000667572021484,131.0814971923828,146.30288696289062,230.09666442871094,146.97300720214844,58.5084228515625,95.32949829101562,6.075367450714111,54.37503433227539,5.688486099243164,55.0,20.351667404174805,82.9034423828125,10.90999984741211,97.51508331298828,146.9104461669922,47.20000076293945,31.059999465942383,95.63261413574219
2020-04-06 00:00:00-04:00,246.26132202148438,185.24000549316406,230.75732421875,77.84477996826172,31.633472442626953,22.219188690185547,164.77342224121094,34.41600036621094,132.91175842285156,163.25035095214844,258.1610412597656,157.9030303955078,63.612545013427734,99.87950134277344,6.685369968414307,58.87800979614258,6.479302406311035,59.59000015258789,23.059999465942383,91.24134063720703,12.8100004196167,97.5239028930664,146.52688598632812,43.84000015258789,31.8799991607666,102.47298431396484
2020-04-07 00:00:00-04:00,246.51235961914062,185.25,230.4785614013672,78.87158203125,32.2353401184082,22.292240142822266,168.0380401611328,36.36333465576172,133.1651611328125,162.4313507080078,251.50172424316406,156.20236206054688,62.87576675415039,100.58000183105469,6.451979160308838,58.84665298461914,7.0634284019470215,59.310001373291016,23.52833366394043,86.65416717529297,13.59000015258789,97.56785583496094,144.99240112304688,40.720001220703125,31.760000228881836,101.68771362304688
2020-04-08 00:00:00-04:00,254.7873992919922,191.00999450683594,248.86749267578125,82.05638122558594,34.275447845458984,22.981420516967773,173.46246337890625,36.589332580566406,137.23855590820312,168.54942321777344,263.4312744140625,157.76931762695312,64.48505401611328,102.1500015258789,6.649252414703369,60.06283950805664,7.180253982543945,62.45000076293945,24.18000030517578,90.37850952148438,13.579999923706055,97.51508331298828,143.93740844726562,42.959999084472656,31.3799991607666,104.56388092041016
2020-04-09 00:00:00-04:00,258.6645812988281,193.83999633789062,245.42938232421875,89.41795349121094,33.7126579284668,22.38290023803711,174.36817932128906,38.20000076293945,136.77867126464844,167.3450469970703,261.9242248535156,157.77883911132812,64.95040130615234,102.13800048828125,6.549618244171143,60.04144287109375,7.737421035766602,63.939998626708984,24.81333351135254,92.62364959716797,15.039999961853027,97.53267669677734,144.1989288330078,39.84000015258789,32.18000030517578,105.39647674560547
2020-04-13 00:00:00-04:00,256.302978515625,188.77000427246094,244.8533172607422,85.4413070678711,33.4234504699707,22.8775634765625,173.97007751464844,43.39666748046875,135.54910278320312,162.81678771972656,256.0323791503906,158.13230895996094,66.2251968383789,108.44349670410156,6.721487045288086,60.23252868652344,7.683498859405518,62.349998474121094,23.891666412353516,90.92438507080078,13.829999923706055,97.5239028930664,142.8824920654297,39.439998626708984,32.7599983215332,105.8316650390625
2020-04-14 00:00:00-04:00,263.8620300292969,192.94000244140625,251.3484344482422,83.1005859375,33.16551971435547,23.556175231933594,177.33421325683594,47.32600021362305,141.82821655273438,168.2410888671875,263.2076416015625,165.95730590820312,69.56977844238281,114.16600036621094,7.07269287109375,62.96049118041992,7.800325393676758,64.5,24.248332977294922,95.18577575683594,14.140000343322754,97.54150390625,142.8476104736328,37.279998779296875,33.08000183105469,109.95670318603516
2020-04-15 00:00:00-04:00,258.2554016113281,188.57000732421875,261.7369079589844,79.00209045410156,31.64128303527832,22.659273147583008,176.13986206054688,48.65533447265625,141.8938751220703,159.89743041992188,250.0044403076172,164.21836853027344,68.9347915649414,115.38400268554688,6.995229244232178,62.565879821777344,7.180253982543945,64.47000122070312,23.155000686645508,93.63618469238281,13.25,97.53267669677734,146.6314697265625,35.439998626708984,32.97999954223633,108.54698944091797
2020-04-16 00:00:00-04:00,259.5014343261719,187.9600067138672,277.30096435546875,75.9913558959961,30.6016845703125,22.734086990356445,175.42323303222656,49.680667877197266,145.22579956054688,156.4867706298828,239.9124298095703,169.1483917236328,69.48255920410156,120.40950012207031,7.340455055236816,62.57234573364258,6.901670455932617,65.69999694824219,23.209999084472656,92.52681732177734,12.949999809265137,97.54150390625,148.29676818847656,34.880001068115234,32.81999969482422,110.29732513427734
2020-04-17 00:00:00-04:00,266.51190185546875,191.1999969482422,269.98809814453125,82.82211303710938,33.78300476074219,23.402141571044922,178.3992156982422,50.259334564208984,147.6285858154297,163.34664916992188,252.7559051513672,170.63888549804688,68.53973388671875,118.75,7.281173229217529,63.645713806152344,7.1263346672058105,66.66000366210938,24.274999618530273,97.46613311767578,14.619999885559082,97.54150390625,146.30886840820312,33.68000030517578,32.15999984741211,112.1043701171875
