Date,SPY,BRK-B,UNH,JPM,XOM,AVGO,META,TSLA,LLY,V,MA,MSFT,AAPL,AMZN,NVDA,GOOGL,TRGP,PTC,DECK,ATO,BLDR,SHV,TLT,USO,IAU,MTUM
2020-05-07 00:00:00-04:00,75250400,6698000,3162300,16771900,22160300,18238000,15152000,172915500,2330600,9262200,4371400,28316000,115215200,67928000,373732000,30652000,6504700,873100,1501200,1119000,773100,2224800,9164800,12745400,13427000,2927000
2020-05-08 00:00:00-04:00,76452400,5793600,3200000,20487800,19977400,16757000,12506000,241297500,1966600,6470100,3215400,30877800,133838400,64132000,339216000,33326000,6399500,647100,1321800,868200,999700,1685400,8129800,10472500,11010100,984200
2020-05-11 00:00:00-04:00,79514200,9235700,3490700,31907600,22258000,20851000,12911900,247794000,3196200,8683100,4056900,30892700,145946400,65184000,469060000,32718000,5590300,1187700,2636400,1321700,1323600,3735000,8713500,10461600,9889500,834900
2020-05-12 00:00:00-04:00,95870800,6470900,4214300,27962900,25439100,18764000,14704600,238603500,2329400,8219700,4031400,32038200,162301200,61498000,493060000,33918000,6122000,684300,2020800,951100,1089200,3061900,10057300,10138500,10074200,3344300
2020-05-13 00:00:00-04:00,144721100,10258900,5474100,35451600,30827900,21927000,20684600,285982500,2650000,13377100,4802100,44711500,200622400,95658000,625852000,40368000,6336100,1013200,2697000,865100,1586200,2417500,13305600,10082900,14566350,1368500
2020-05-14 00:00:00-04:00,121977900,7013600,5704600,35152500,24856500,19912000,17178900,205233000,2393900,9695100,6294200,41873900,158929200,72962000,602312000,36660000,5232200,735800,2266800,991400,927700,2243000,10080000,11539700,12706800,928600
2020-05-15 00:00:00-04:00,111146300,5937500,12182800,26099000,22445600,21650000,19383200,157776000,2824500,10785900,3813300,46610400,166348400,84700000,987660000,41544000,3867800,373600,2040600,3166400,1402300,1845400,7225600,11525000,14445250,800600
2020-05-18 00:00:00-04:00,119703800,7458900,4015100,30504400,32026100,26531000,20151900,174987000,2703700,11802200,6037800,35264500,135178400,87144000,774460000,47094000,5714900,820900,3540600,793200,1570200,2723300,10073100,19664300,12707350,866400
2020-05-19 00:00:00-04:00,95189300,5574800,3059400,19597300,21771600,18702000,31843200,144547500,2339400,7446800,5211800,26799100,101729600,86410000,717320000,31586000,5763900,632200,2685000,805900,1021000,2523700,8639100,9373400,8552300,989100
2020-05-20 00:00:00-04:00,85861700,5455600,3200600,20552400,19352400,18605000,50162900,109639500,3780800,9545600,4592200,31261300,111504800,79962000,587536000,38262000,4907200,468200,3528000,1128600,1039500,3164500,10927300,11752400,11956250,668700
2020-05-21 00:00:00-04:00,78293900,4059900,3604900,14621400,19130700,14847000,47782600,183819000,3049800,11338100,3944100,29119500,102688800,102288000,761068000,30894000,4452900,453400,4320000,642300,750900,6117400,8920000,21259800,11348650,830000
2020-05-22 00:00:00-04:00,63958200,3584800,2922800,13557900,15406400,17452000,33925600,149812500,2355000,5807600,2897000,20826900,81803200,57342000,1038764000,28544000,3416300,362800,6521400,602600,840800,3984200,4956700,10614700,7399050,943600
2020-05-26 00:00:00-04:00,88951400,7107600,4567800,41233900,20356500,23573000,33178300,121345500,5013400,9662200,5246900,36073600,125522000,71364000,770780000,44590000,3669600,907600,3921600,611800,1501300,6604700,8098900,12891300,13905350,1382100
2020-05-27 00:00:00-04:00,104817400,7410500,5618900,39402000,20788300,22812000,34697600,173242500,5376100,7650300,5147900,39517100,112945200,101138000,1175892000,31684000,4479900,662000,4317600,772000,2137700,8444500,8047400,13839700,14929000,3086300
2020-05-28 00:00:00-04:00,90405200,6313100,4387700,24713900,19698000,18543000,29377200,108834000,3982700,8352200,4520800,33810200,133560800,63804000,734896000,35170000,4370300,684100,3209400,810600,1461700,5624000,10272600,8087000,12544250,1060500
2020-05-29 00:00:00-04:00,119090800,10630200,6251500,26526400,25874700,27300000,23241500,176467500,9466300,10211900,4930100,42130400,153532400,70198000,745256000,37044000,16923000,920600,3145200,3602100,1025100,5893800,14632700,12731400,8071050,738800
2020-06-01 00:00:00-04:00,55758300,5718800,2894000,15176800,19031000,18444000,18223800,224092500,5233800,6011300,2841800,22622400,80791200,58578000,389876000,25162000,4885900,820500,4923000,861300,1317500,3793300,13341400,8201000,7949650,643600
2020-06-02 00:00:00-04:00,74267200,5803000,2756800,21195000,22319000,31847000,20919000,203484000,3269400,8462100,4131300,30794600,87642800,50598000,391320000,23442000,4336500,615000,4696200,718900,1348700,4190100,11517100,9131500,10983300,850300
2020-06-03 00:00:00-04:00,92567600,6706700,4360000,25941100,23418000,31926000,15380300,119242500,3190300,8879400,3429700,27311000,104491200,53420000,365440000,27732000,5412400,488400,4502400,785500,1655800,4336800,12255700,11428000,16647300,713600
2020-06-04 00:00:00-04:00,75794400,5809800,4374300,26784700,18731400,34997000,17041500,133315500,3328700,7829800,4147700,28761800,87560400,58974000,424280000,26982000,5261500,576400,4264800,1876500,1001000,2685900,14038600,11377000,11643800,682500
2020-06-05 00:00:00-04:00,150524700,10390400,5554300,42231000,41328900,50958000,16750400,117178500,4578800,8561200,5058200,39893600,137250400,66128000,481748000,42642000,4203100,696600,4382400,1391600,1360500,5845700,17778500,11820600,18728300,622400
2020-06-08 00:00:00-04:00,73641200,6695100,4635500,24881800,33579400,23916000,15466500,212620500,4076400,7628100,3724300,33211600,95654400,79414000,387736000,33878000,4715100,1040700,2855400,838200,1356900,7885700,10346700,14161900,10966350,1682700
2020-06-09 00:00:00-04:00,77479200,7711800,3061500,17031100,27276900,22335000,27462900,170823000,4302100,6892300,3314800,29783900,147712400,103520000,468488000,33624000,4973700,859500,2713800,628700,869400,2869400,9095300,10176400,9132100,1095400
2020-06-10 00:00:00-04:00,95000800,7337400,3296100,24913300,31156800,25914000,20720700,278451000,4940200,8405300,4089000,43872300,166651600,98920000,632180000,31762000,4292500,720100,2704200,570100,1176800,3540900,13135500,8303000,12576150,1380500
2020-06-11 00:00:00-04:00,209243600,15372400,6638900,36259200,39183000,45115000,26708200,238747500,4547400,11974600,6505300,52854700,201662400,116002000,583652000,47144000,4633700,1009800,3018000,1073500,1341700,3432200,17086400,22801300,11165850,949200
2020-06-12 00:00:00-04:00,194678900,9476800,5416800,24856800,30978100,39439000,22091400,251451000,3973200,11706300,4512200,43373600,200146000,108722000,570908000,36676000,5819100,1127800,2440800,946200,1019300,7831600,9716100,8885100,11292500,796700
